Email,Address,Avatar,Avg. Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent
lisagutierrez@johnson-herring.net,"89300 Amber Centers Apt. 879
Victoriaton, VT 98394",Peru,32.416476378395046,13.764804200997313,37.42655349315983,5.000666718457205,661.9995060372811
suzanne63@gmail.com,"229 Eric Mountains
New Caleb, PA 00396",LightSalmon,33.25273462087445,10.743693976745373,36.24438682035622,4.096589632180362,478.6957035360206
amberchase@fowler.info,"1867 Gregory Isle Suite 022
Port Tammy, LA 52305-9696",GreenYellow,33.83853163029928,11.589775922464044,35.2907619764623,3.3973492245309567,483.07287172197044
charlesgutierrez@hotmail.com,"363 Kathleen Underpass
Ashleyside, PR 98964",MistyRose,33.67036949065091,13.805970362191667,36.995322259050305,3.49527190065612,563.4317387145967
michellejohnson@sanders-rodriguez.com,"70562 Gonzalez Stravenue
Elizabethland, WI 40700-9149",Teal,31.567566447136414,11.345077434091754,36.96590767852744,3.785679490696949,445.0393993560088
jessicabrewer@simmons.net,"5052 Mccoy Passage Apt. 328
Teresaport, FM 97139",LightBlue,34.02752947696404,13.014679963568602,38.48454532233005,3.263015575145413,544.007393624608
brenda68@hotmail.com,"0377 Reed Via Apt. 169
Alexandershire, MO 43498",Moccasin,33.221429460309444,12.973446550256316,38.17917576535003,3.8148896147563995,568.428395118022
whess@hotmail.com,"29282 Alexander Street
South Andrewmouth, MS 22041",Tomato,33.267833505119405,11.164984620207415,37.698761367819934,2.6494140129165946,414.8965932043574
audreyjohnson@rosales.com,"USCGC Nicholson
FPO AE 43987-0470",SlateGray,33.58214012339473,13.438098278994637,36.7666857853755,4.046009857616161,613.0027715594315
ashleychristopher@gmail.com,"9271 Christopher Prairie
Douglasshire, NM 18581",MediumOrchid,34.62081749249666,11.29391452263072,36.49942915909151,2.4794564813538424,428.0986279666082
youngellen@hotmail.com,"994 Joel Highway Suite 216
New Jessicafort, UT 14179",DodgerBlue,31.616771833939076,13.005027112558905,36.66634350052335,4.486388991407209,548.1744945013031
lmalone@gmail.com,"USS Beasley
FPO AP 50556-7615",AntiqueWhite,32.94321135070238,13.408985987540989,37.83650544572349,3.6165115779246055,549.9011785154626
gregoryholmes@hotmail.com,"2891 Martin Plain Suite 197
Melaniestad, NE 65650-8529",DarkSalmon,32.72775136067347,13.76551335698033,39.291529976039634,2.9834735185404337,520.559127521548
kimberly46@garcia-nelson.biz,"4066 Gonzalez Dam Apt. 277
West Jessica, TN 36880",GreenYellow,31.649014825491005,11.383723240785713,36.53155320006491,3.1448151405759472,415.69828248853656
dale88@hotmail.com,"0787 Andrews Ranch Apt. 633
South Chadburgh, TN 56128",Cornsilk,32.65720621972955,11.432574308541213,38.31403497552069,4.9930035403536435,550.7988663857866
walkerlaura@peterson-yates.com,"89154 Jones Stream Suite 311
East Katie, NC 72742-1516",LightGreen,33.18417450286675,11.839006185734029,36.24969811125958,2.486062294997128,447.35939571948774
rogerstiffany@wilson-horne.com,"30700 Justin Ports
Port David, PA 52171-5921",DarkOliveGreen,34.208855263919006,11.486630790120543,38.88357754813718,4.097099031752375,539.7946700385451
bushsharon@barber.com,"0013 Andre Field
Whitebury, AZ 68447-6306",DarkSeaGreen,33.21500496112588,11.90074370214884,36.45646834438634,3.510133093144721,500.2428198200557
fishermichael@ramos.com,"565 Duarte Keys Suite 293
Traceytown, IN 17797",LimeGreen,34.61227911294047,10.92070521607766,35.88465003072476,3.1688591770802192,459.55816886690184
kaylahenderson@hotmail.com,"Unit 1609 Box 3480
DPO AA 95185",MediumSpringGreen,32.50513578404326,11.64817192174195,38.12413108695741,2.9408735161618056,449.32505247492753
jenniferking@hess.net,"06939 Jones Neck
Mariaview, VT 87641",BlueViolet,31.380778352393758,10.97175652441764,38.042460228559236,3.365868307933576,409.51045659059184
erik46@hotmail.com,"20711 Martin Harbors Apt. 582
New Justinborough, AK 40834-2664",LemonChiffon,34.45770458260743,10.620628090029966,36.76190485351555,3.4213585387161802,469.23281369255517
hduke@hotmail.com,"4547 Archer Common
Diazchester, CA 06566-8576",DarkGreen,32.027037936445296,11.116287220679748,37.29048461556368,2.7110641542052454,397.9894248744968
awu@robinson.org,"0281 Dale Wells Suite 656
East Joshua, ME 73389",Brown,32.08615293735074,13.174861991282883,37.6101691593792,4.162887829153902,558.791236142475
shafferdaniel@murphy-harris.info,"USCGC Thomas
FPO AP 43708-2468",Turquoise,32.32863220497077,10.823321161326675,37.76493074101599,1.8827185426441932,338.4578070183086
autumn88@mendoza-mills.com,"214 Obrien Lakes Suite 572
South Jeremy, KS 52867-7617",MediumOrchid,32.008019271791,12.53613897471828,35.51316078742862,3.454084271954451,496.72823858020536
jasonrichardson@elliott.com,"18372 Matthew Fork Suite 705
North Matthewmouth, KY 99737",Chocolate,33.82653665510538,12.436489816366759,37.20817519046695,4.241453423541864,587.0381221669054
ebrown@osborne.com,"4291 Nichols Fork Apt. 562
Thomaschester, SC 08938-8769",DarkSlateGray,31.966557415320647,12.943155466981894,36.92856389144358,5.9860551573825695,657.733046556141
ievans@hotmail.com,"2064 Poole Groves
North Chrisland, SC 78169",NavajoWhite,33.2253212260649,10.99862833733122,38.533237015824966,4.23388866133575,506.7418986546383
youngellen@hotmail.com,"994 Joel Highway Suite 216
New Jessicafort, UT 14179",DodgerBlue,31.682257587378988,12.979928524341164,36.764720439302835,4.5486030271492846,542.6060729330401
larrywest@davis.com,"21918 Gail Glens
Barbershire, SD 45790-8387",MidnightBlue,33.679762028505976,13.734376648869699,37.81985689930335,1.375231733496415,437.7785240646734
melissa08@rowe.net,"13799 Cortez Inlet Suite 733
East Stevenshire, AL 32757",Tan,33.394537429162945,11.07662133437726,38.65218184133406,4.116647063270608,512.4750904553358
krista86@norton.net,"0537 Rice Village
West Kylieberg, NJ 19433-5090",Azure,34.21395848087612,11.882063493598098,37.40254409002501,2.447596311353643,445.011795675928
kylemelendez@hotmail.com,"2749 Cunningham Flat Apt. 838
Derekberg, OH 45288",DeepPink,32.48890291257128,13.84541786797955,38.333857939547265,3.78201372140298,554.3502154862044
katie25@gmail.com,"6861 Lopez Fork Apt. 114
South Jamiechester, DE 63993",SpringGreen,32.732645744687524,13.336403978796165,36.58214263521744,3.4395918443798505,541.0863325566523
jamesfaulkner@hoffman-wolfe.org,"Unit 0474 Box 0661
DPO AP 48938-3469",Blue,34.44721203070498,12.859174539572534,38.62900927047793,1.983214808653935,465.3969236699489
hunterlucas@gmail.com,"89301 Kylie Crossroad
Petersonberg, MH 23834",Turquoise,33.63057404941942,12.640565161801323,36.90567616589211,2.4855634092818897,476.8653812642703
martha91@garrison.net,"360 Albert Spring
South Tylerbury, VA 92641-9077",HotPink,34.496912776077444,12.919799308330278,36.394899573121656,3.791966538578836,578.1314622048925
millerrachel@gallagher-nichols.com,"Unit 4742 Box 9517
DPO AE 67219-3123",Turquoise,34.243942591454406,10.800640307121379,34.660651671435176,5.078654556172407,575.2941424830225
